Date,Open,High,Low,Close,Volume
2021-04-30,1591.12,1593.23,1580.74,1583.13,14636602472.0
2021-05-31,1582.56,1594.65,1578.09,1593.59,12491988691.0
2021-06-30,1597.26,1600.57,1584.47,1587.79,8649965196.0
2021-07-31,1523.42,1525.73,1513.71,1525.11,6082819611.0
2021-08-31,1632.65,1643.76,1628.12,1638.75,11786037787.0
2021-09-30,1616.99,1621.15,1601.79,1605.68,12312872219.0
2021-10-31,1627.59,1632.73,1611.39,1613.78,6865712566.0
2021-11-30,1601.52,1612.1,1565.95,1568.69,12146334635.0
2021-12-31,1664.51,1674.19,1663.5,1670.28,9277901270.0
2022-01-31,1647.68,1655.48,1646.88,1648.81,6863411306.0
2022-02-28,1678.05,1690.61,1668.05,1685.18,7574577313.0
2022-03-31,1698.8,1701.95,1693.16,1695.24,8491233546.0
2022-04-30,1667.41,1668.54,1649.5,1652.29,5903198192.0
2022-05-31,1654.27,1663.52,1649.6,1663.41,5738824026.0
2022-06-30,1587.82,1591.23,1564.82,1568.33,5866446100.0
2022-07-31,1584.93,1596.66,1581.23,1593.24,4571724155.0
2022-08-31,1632.92,1644.09,1630.01,1638.93,5698865741.0
2022-09-30,1589.98,1597.44,1584.22,1589.51,5165586852.0
2022-10-31,1614.66,1619.08,1605.76,1608.76,4451144189.0
2022-11-30,1626.14,1636.08,1622.24,1635.36,4956636931.0
2022-12-31,1675.7,1683.38,1673.29,1678.97,4617439369.0
